"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_nuclear_fraction"
"1244","ENSG00000074054.18","CLASP1","protein_coding","chr2",121648588,"-",329,3.859037,29.665803,47.308431,9.9165285,66.860078
"1245","ENSG00000074071.14","MRPS34","protein_coding","chr16",1772156,"-",365,2.3287255,54.5947165,93.102166,18.25731,22.5344925
"1246","ENSG00000074181.9","NOTCH3","protein_coding","chr19",15199996,"-",47,0.161373,1.9605235,0.5094355,0.591967,6.342208
"1247","ENSG00000074201.9","CLNS1A","protein_coding","chr11",77636795,"-",326,4.3667845,98.7056265,164.5736465,29.869062,37.104513
"1248","ENSG00000074211.14","PPP2R2C","protein_coding","chr4",6562601,"-",32,0.019167,0.331435,0.780141,0.2958935,0.280457
"1249","ENSG00000074219.13","TEAD2","protein_coding","chr19",49361458,"-",206,1.040714,5.1557745,7.1530185,7.7558075,2.783094
"1250","ENSG00000074266.21","EED","protein_coding","chr11",86243753,"+",285,0.4786945,15.966561,29.0363465,2.8557795,19.104529
"1251","ENSG00000074276.10","CDHR2","protein_coding","chr5",176541511,"+",193,0.32708,8.143845,4.917329,2.7453965,7.8858675
"1252","ENSG00000074317.11","SNCB","protein_coding","chr5",176629557,"-",79,0,0,0,0,0
"1253","ENSG00000074319.13","TSG101","protein_coding","chr11",18525952,"-",321,1.5453135,25.467989,55.661967,11.5168265,12.3122165
"1254","ENSG00000074356.17","NCBP3","protein_coding","chr17",3845247,"-",307,0.1842355,10.1339535,13.2408285,1.8538365,11.1885325
"1255","ENSG00000074370.18","ATP2A3","protein_coding","chr17",3963465,"-",20,0,0.012608,0.022291,0.020193,0.1051225
"1256","ENSG00000074410.14","CA12","protein_coding","chr15",63380847,"-",70,0.0006545,0.095362,0.108244,0.0178245,0.5261425
"1257","ENSG00000074416.14","MGLL","protein_coding","chr3",128051191,"-",322,0.0280705,0.4096605,0.164612,0.102453,1.299761
"1258","ENSG00000074527.12","NTN4","protein_coding","chr12",95790153,"-",182,0.1450515,6.9209345,7.4621345,1.8359715,8.693062
"1259","ENSG00000074582.14","BCS1L","protein_coding","chr2",218657764,"+",288,2.088892,28.647331,30.8241025,13.8232115,26.312573
"1260","ENSG00000074590.13","NUAK1","protein_coding","chr12",106139034,"-",214,0.045523,1.1490215,1.410307,0.4358295,0.89314
"1261","ENSG00000074603.19","DPP8","protein_coding","chr15",65516705,"-",338,1.2322985,14.7616795,21.6209585,5.9062635,13.9349925
"1262","ENSG00000074621.14","SLC24A1","protein_coding","chr15",65610366,"+",371,0.9575045,5.7962475,5.8452785,2.1879915,7.324485
"1263","ENSG00000074657.13","ZNF532","protein_coding","chr18",58861600,"+",1,0.3067775,3.787563,0.980759,1.2177685,10.6165715
"1264","ENSG00000074660.16","SCARF1","protein_coding","chr17",1644745,"-",0,0.05375,0.1884505,0.0546605,0.155324,0.6458215
"1265","ENSG00000074695.6","LMAN1","protein_coding","chr18",59358266,"-",276,0.485233,103.645684,80.834933,10.124244,124.6098875
"1266","ENSG00000074696.13","HACD3","protein_coding","chr15",65529418,"+",336,0.828591,83.304138,80.484245,12.5398035,55.3281305
"1267","ENSG00000074706.13","IPCEF1","protein_coding","chr6",154355793,"-",0,0.0021015,0.058867,0.0331905,0.0123015,0.0954985
"1268","ENSG00000074755.15","ZZEF1","protein_coding","chr17",4142031,"-",329,0.980861,5.2404945,5.9714995,1.7769465,8.6201905
"1269","ENSG00000074771.4","NOX3","protein_coding","chr6",155454840,"-",0,0.0040825,0.132993,0.1569515,0.032475,0.246938
"1270","ENSG00000074800.16","ENO1","protein_coding","chr1",8878191,"-",400,17.0943275,628.380145,1397.6318725,111.7460605,233.392344
"1271","ENSG00000074803.19","SLC12A1","protein_coding","chr15",48177438,"+",138,0.000927,0.029869,0.0046035,0.0038005,0.0348875
"1272","ENSG00000074842.7","MYDGF","protein_coding","chr19",4669371,"-",312,1.913146,55.3945225,39.417197,15.047186,33.7421595
"1273","ENSG00000074855.11","ANO8","protein_coding","chr19",17333856,"-",275,0.0684455,1.358625,0.599475,0.440388,1.9561325
"1274","ENSG00000074935.14","TUBE1","protein_coding","chr6",112086530,"-",258,0.4993055,18.272136,16.41047,4.2316725,23.097984
"1275","ENSG00000074964.17","ARHGEF10L","protein_coding","chr1",17538698,"+",94,1.968299,23.722513,19.152731,9.167806,29.7506475
"1276","ENSG00000074966.11","TXK","protein_coding","chr4",48133251,"-",0,0.0049145,0.4686205,0.1140505,0.05204,0.615298
"1277","ENSG00000075035.10","WSCD2","protein_coding","chr12",108128288,"+",39,0,0.004011,0,0.002942,0.025631
"1278","ENSG00000075043.18","KCNQ2","protein_coding","chr20",63471678,"-",30,0.0081175,0.0082995,0.00262,0.0031865,0.0045985
"1279","ENSG00000075073.15","TACR2","protein_coding","chr10",69415919,"-",60,0.001392,0.0871115,0.0439195,0.0275635,0.553035
"1280","ENSG00000075089.9","ACTR6","protein_coding","chr12",100198122,"+",256,0.238023,18.382458,38.323759,2.49315,8.463302
"1281","ENSG00000075131.10","TIPIN","protein_coding","chr15",66385747,"-",317,0.274956,11.805832,22.629906,1.996693,5.655495
"1282","ENSG00000075142.13","SRI","protein_coding","chr7",88225994,"-",108,0.005517,0.371113,0.2608975,0.0517345,1.144166
"1283","ENSG00000075151.20","EIF4G3","protein_coding","chr1",21175889,"-",227,1.708301,10.916217,16.823149,4.1881795,16.216018
"1284","ENSG00000075188.9","NUP37","protein_coding","chr12",102119121,"-",291,0.5716275,41.6825305,93.837836,5.0984535,15.378688
"1285","ENSG00000075213.11","SEMA3A","protein_coding","chr7",84491725,"-",0,0.0034845,0.374841,0.537455,0.118125,0.579383
"1286","ENSG00000075218.19","GTSE1","protein_coding","chr22",46295870,"+",260,0.735402,7.3810375,10.3321715,5.535412,6.9175725
"1287","ENSG00000075223.14","SEMA3C","protein_coding","chr7",80921360,"-",0,0.0778955,1.043131,0.3178305,0.333763,2.484197
"1288","ENSG00000075234.17","TTC38","protein_coding","chr22",46266961,"+",302,12.7911815,54.715205,76.6301015,21.254308,45.1270335
"1289","ENSG00000075239.14","ACAT1","protein_coding","chr11",108115695,"+",3,1.1776145,85.756862,120.6851335,11.205221,31.854201
"1290","ENSG00000075240.17","GRAMD4","protein_coding","chr22",46575012,"+",173,2.1099735,7.4143305,6.2461465,4.977943,9.200218
"1291","ENSG00000075275.16","CELSR1","protein_coding","chr22",46536171,"-",73,0.0756745,1.081949,1.1957815,0.393387,1.312895
"1292","ENSG00000075290.8","WNT8B","protein_coding","chr10",100462009,"+",0,0.001519,0.0608515,0.031283,0.0123915,0.1403295
"1293","ENSG00000075292.19","ZNF638","protein_coding","chr2",71275561,"+",248,6.902152,70.7603695,73.5479885,22.1675175,145.3980865
"1294","ENSG00000075303.13","SLC25A40","protein_coding","chr7",87875361,"-",342,0.598979,10.49779,14.7365885,3.7338415,16.5056135
"1295","ENSG00000075336.12","TIMM21","protein_coding","chr18",74147523,"+",311,1.8559475,30.6070345,44.0566615,20.619632,20.5154945
"1296","ENSG00000075340.23","ADD2","protein_coding","chr2",70767226,"-",44,0.0041505,0.17936,0.15378,0.0349275,0.382583
"1297","ENSG00000075388.4","FGF4","protein_coding","chr11",69774342,"-",12,0,0,0,0,0
"1298","ENSG00000075391.16","RASAL2","protein_coding","chr1",178093141,"+",275,0.1101075,3.413172,4.485301,0.642478,7.492214
"1299","ENSG00000075399.14","VPS9D1","protein_coding","chr16",89719899,"-",359,0.4390635,5.764909,3.2656425,3.091703,8.526203
"1300","ENSG00000075407.18","ZNF37A","protein_coding","chr10",38093334,"+",269,0.4319155,6.9561225,11.178724,3.081588,8.0593595
"1301","ENSG00000075413.18","MARK3","protein_coding","chr14",103384392,"+",262,2.2978785,31.7726315,28.08562,14.156557,44.90536
"1302","ENSG00000075415.12","SLC25A3","protein_coding","chr12",98592591,"+",288,16.6717025,358.4912335,663.717169,211.2821505,138.966302
"1303","ENSG00000075420.13","FNDC3B","protein_coding","chr3",172038578,"+",340,14.0350595,50.5119645,72.3936565,24.133351,116.587699
"1304","ENSG00000075426.12","FOSL2","protein_coding","chr2",28391448,"+",363,0.1479185,2.1444335,1.6296645,0.700292,2.2771895
"1305","ENSG00000075429.8","CACNG5","protein_coding","chr17",66834117,"+",22,0,0,0,0,0
"1306","ENSG00000075461.6","CACNG4","protein_coding","chr17",66963707,"+",41,0.0064885,0.037537,0.0700915,0.0527215,0.005727
"1307","ENSG00000075539.14","FRYL","protein_coding","chr4",48779323,"-",230,1.118181,17.006156,19.5560065,3.1000055,52.583126
"1308","ENSG00000075568.17","TMEM131","protein_coding","chr2",97994949,"-",348,0.4523025,12.1610675,13.4671295,2.741517,39.413955
"1309","ENSG00000075618.18","FSCN1","protein_coding","chr7",5591816,"+",292,0.864988,23.7202525,30.7455495,10.3897865,11.107988
"1310","ENSG00000075624.16","ACTB","protein_coding","chr7",5562785,"-",266,28.691964,404.9380585,640.9822235,197.5103645,236.715866
"1311","ENSG00000075643.6","MOCOS","protein_coding","chr18",36186497,"+",272,0.4947935,8.584729,14.99116,2.818552,5.9258355
"1312","ENSG00000075651.16","PLD1","protein_coding","chr3",171809951,"-",348,1.052741,15.7668735,23.691945,3.6971895,34.2750975
"1313","ENSG00000075673.11","ATP12A","protein_coding","chr13",24679411,"+",7,0,0,0,0,0
"1314","ENSG00000075702.18","WDR62","protein_coding","chr19",36053881,"+",310,0.913107,8.6969575,6.2302295,2.987548,13.9319335
"1315","ENSG00000075711.21","DLG1","protein_coding","chr3",197298331,"-",278,1.879953,46.87947,49.4717125,7.974651,83.66357
"1316","ENSG00000075785.12","RAB7A","protein_coding","chr3",128725122,"+",294,2.3442345,12.7808655,31.6176115,4.825372,10.312843
"1317","ENSG00000075790.10","BCAP29","protein_coding","chr7",107578977,"+",0,0.498369,19.298974,21.07496,4.63173,16.7726345
"1318","ENSG00000075826.17","SEC31B","protein_coding","chr10",100518865,"-",180,0.0480105,1.0159355,0.1436115,0.1250345,1.676263
"1319","ENSG00000075856.12","SART3","protein_coding","chr12",108560401,"-",273,1.8498155,35.6166795,38.795851,6.777518,39.5179055
"1320","ENSG00000075884.14","ARHGAP15","protein_coding","chr2",143090362,"+",0,0.012016,0.1765805,0.0238435,0.0309705,0.4394815
"1321","ENSG00000075886.11","TUBA3D","protein_coding","chr2",131475119,"+",12,0.005389,0.563868,0.096572,0.0404475,0.7066535
"1322","ENSG00000075891.21","PAX2","protein_coding","chr10",100734603,"+",13,0,0,0,0,0
"1323","ENSG00000075914.13","EXOSC7","protein_coding","chr3",44974241,"+",290,1.0162385,33.440658,55.781123,6.5911365,23.7072215
"1324","ENSG00000075945.13","KIFAP3","protein_coding","chr1",170084209,"-",0,0.2747235,4.969044,8.5257855,1.241313,3.9204785
"1325","ENSG00000075975.16","MKRN2","protein_coding","chr3",12556087,"+",356,0.433615,12.2906785,24.1459485,4.5030965,6.857492
"1326","ENSG00000076003.5","MCM6","protein_coding","chr2",135875444,"-",234,0.206737,8.481579,33.290946,1.4642155,7.0739715
"1327","ENSG00000076043.10","REXO2","protein_coding","chr11",114438386,"+",252,1.3952705,47.98936,74.9101765,12.567677,29.645001
"1328","ENSG00000076053.10","RBM7","protein_coding","chr11",114399030,"+",322,0.615079,13.6219985,31.987866,7.532853,9.19347
"1329","ENSG00000076067.13","RBMS2","protein_coding","chr12",56520820,"+",32,0.4647455,1.253053,0.821617,0.964381,1.9620255
"1330","ENSG00000076108.11","BAZ2A","protein_coding","chr12",56635817,"-",251,0.949819,11.37062,16.469602,4.725654,12.012304
"1331","ENSG00000076201.15","PTPN23","protein_coding","chr3",47380011,"+",335,0.5218585,2.9204485,10.7996535,2.749082,6.657664
"1332","ENSG00000076242.14","MLH1","protein_coding","chr3",36992332,"+",0,0.6288685,32.667301,50.5150485,6.798774,26.390832
"1333","ENSG00000076248.10","UNG","protein_coding","chr12",109096574,"+",251,0.9045635,55.016287,102.1900735,11.7812865,23.979216
"1334","ENSG00000076258.10","FMO4","protein_coding","chr1",171313183,"+",62,0,0.087622,0.224711,0.014694,0.0209375
"1335","ENSG00000076321.11","KLHL20","protein_coding","chr1",173713941,"+",292,0.1925395,7.553569,13.10219,1.363042,6.6962145
"1336","ENSG00000076344.16","RGS11","protein_coding","chr16",274981,"-",81,0.0019,0.035932,0.014903,0.0522315,0.1269155
"1337","ENSG00000076351.13","SLC46A1","protein_coding","chr17",28406198,"-",210,1.0148215,11.3869525,7.3391935,4.549426,13.851661
"1338","ENSG00000076356.7","PLXNA2","protein_coding","chr1",208243385,"-",193,0.0042575,0.429124,0.1289445,0.17938,0.7310345
"1339","ENSG00000076382.17","SPAG5","protein_coding","chr17",28598026,"-",250,0.6549315,32.580325,49.2733095,5.4783305,29.553251
"1340","ENSG00000076513.17","ANKRD13A","protein_coding","chr12",109998186,"+",307,1.05551,18.2066725,29.146602,10.3141755,14.586629
"1341","ENSG00000076554.15","TPD52","protein_coding","chr8",80230233,"-",78,0.7518625,12.6391,25.460998,7.094411,18.9593455
"1342","ENSG00000076555.15","ACACB","protein_coding","chr12",109115595,"+",233,0.7287715,8.1362275,5.021761,2.8058265,13.401787
"1343","ENSG00000076604.15","TRAF4","protein_coding","chr17",28743005,"+",327,14.684549,59.4993455,50.631126,87.218534,58.5263165
"1344","ENSG00000076641.4","PAG1","protein_coding","chr8",81111069,"-",117,0.0828915,1.1279915,0.5529005,0.2887345,2.5170195
"1345","ENSG00000076650.7","GPATCH1","protein_coding","chr19",33079899,"+",295,0.1923015,3.447972,5.407853,0.947324,4.2761895
"1346","ENSG00000076662.10","ICAM3","protein_coding","chr19",10338662,"-",17,2.2226355,3.85431,15.16358,11.878201,1.992572
"1347","ENSG00000076685.18","NT5C2","protein_coding","chr10",103192307,"-",264,0.752056,25.4706405,41.333225,6.2157705,28.4169695
"1348","ENSG00000076706.17","MCAM","protein_coding","chr11",119320522,"-",98,0.145482,6.1448305,3.6090645,1.1650785,5.6359735
"1349","ENSG00000076716.9","GPC4","protein_coding","chrX",133414490,"-",18,0.001554,0.143536,0.1055675,0.0121335,0.100888
"1350","ENSG00000076770.14","MBNL3","protein_coding","chrX",132488969,"-",183,1.7280445,97.4685715,297.09208,22.952574,99.6173575
"1351","ENSG00000076826.9","CAMSAP3","protein_coding","chr19",7594902,"+",196,0.7508575,7.235167,6.9318315,3.779735,6.833063
"1352","ENSG00000076864.19","RAP1GAP","protein_coding","chr1",21668364,"-",335,0.728009,8.59217,6.5792195,5.307094,11.3845485
"1353","ENSG00000076924.12","XAB2","protein_coding","chr19",7628546,"-",210,0.142918,2.7003845,5.5375845,1.3308085,4.61601
"1354","ENSG00000076928.17","ARHGEF1","protein_coding","chr19",41882161,"+",311,1.5255785,12.7709985,11.021908,3.563911,11.6970095
"1355","ENSG00000076944.16","STXBP2","protein_coding","chr19",7635881,"+",265,1.0976175,9.061229,10.481898,4.0841765,6.620725
"1356","ENSG00000076984.17","MAP2K7","protein_coding","chr19",7902843,"+",290,0.545509,7.123231,7.1591255,5.7271475,5.903645
"1357","ENSG00000077009.13","NMRK2","protein_coding","chr19",3932103,"+",3,0,0,0,0,0
"1358","ENSG00000077044.10","DGKD","protein_coding","chr2",233353507,"+",0,2.8532,14.300089,10.165343,7.8416215,24.2303365
"1359","ENSG00000077063.11","CTTNBP2","protein_coding","chr7",117873140,"-",45,0,0.0017795,0,0,0
"1360","ENSG00000077080.10","ACTL6B","protein_coding","chr7",100655449,"-",301,0.001774,0.016374,0.041199,0.0248245,0
"1361","ENSG00000077092.19","RARB","protein_coding","chr3",25173332,"+",0,0,0.3556695,0.0763135,0.012045,1.7290905
"1362","ENSG00000077097.15","TOP2B","protein_coding","chr3",25663908,"-",270,0.219985,35.425559,71.459111,4.7342015,33.8405355
"1363","ENSG00000077147.16","TM9SF3","protein_coding","chr10",96586453,"-",281,2.18681,87.057231,79.240987,19.0183385,69.395081
"1364","ENSG00000077150.20","NFKB2","protein_coding","chr10",102393110,"+",301,0.6442525,4.932709,4.708632,2.3245605,5.6284425
"1365","ENSG00000077152.11","UBE2T","protein_coding","chr1",202340981,"-",196,0.970154,42.3757985,93.280729,5.607975,11.530118
"1366","ENSG00000077157.22","PPP1R12B","protein_coding","chr1",202347699,"+",261,0.555566,6.3569935,2.306036,1.993715,16.4012305
"1367","ENSG00000077232.18","DNAJC10","protein_coding","chr2",182715041,"+",335,0.6825535,66.177745,116.467149,23.1225115,65.432472
"1368","ENSG00000077235.18","GTF3C1","protein_coding","chr16",27548914,"-",263,1.2395695,24.3804595,18.9049225,5.366761,29.9355465
"1369","ENSG00000077238.14","IL4R","protein_coding","chr16",27312668,"+",308,1.779455,10.3910365,5.4011935,4.432446,12.1417305
"1370","ENSG00000077254.14","USP33","protein_coding","chr1",77758853,"-",301,1.105243,36.6523385,40.385577,6.077141,41.5586145
"1371","ENSG00000077264.15","PAK3","protein_coding","chrX",110943285,"+",0,0.006437,0.126843,0.030267,0.0158205,0.2865505
"1372","ENSG00000077274.9","CAPN6","protein_coding","chrX",111269484,"-",2,0.0005435,0,0,0,0
"1373","ENSG00000077279.18","DCX","protein_coding","chrX",111411430,"-",0,0.0005325,0.016503,0.0106095,0.0028995,0.0457015
"1374","ENSG00000077312.9","SNRPA","protein_coding","chr19",40749637,"+",267,2.826326,36.5383085,46.879005,14.4949815,23.9145615
"1375","ENSG00000077327.16","SPAG6","protein_coding","chr10",22344445,"+",3,0,0,0.0342445,0,0
"1376","ENSG00000077348.9","EXOSC5","protein_coding","chr19",41396360,"-",266,0.450872,13.8433545,20.1529975,2.511621,6.802776
"1377","ENSG00000077380.15","DYNC1I2","protein_coding","chr2",171686409,"+",275,0.402013,38.6709675,81.442022,5.518458,36.5169315
"1378","ENSG00000077420.16","APBB1IP","protein_coding","chr10",26437341,"+",17,0,0,0,0,0
"1379","ENSG00000077454.16","LRCH4","protein_coding","chr7",100585130,"-",239,1.1900155,2.947918,2.077588,2.284413,4.3060495
"1380","ENSG00000077458.13","FAM76B","protein_coding","chr11",95789410,"-",303,0.2729165,15.521597,15.1849145,2.882453,27.293112
"1381","ENSG00000077463.15","SIRT6","protein_coding","chr19",4181567,"-",283,0.77431,5.308866,6.1369715,3.142398,3.3089795
"1382","ENSG00000077498.9","TYR","protein_coding","chr11",89176875,"+",0,0,0.098381,0.0268735,0,0.0792035
"1383","ENSG00000077514.9","POLD3","protein_coding","chr11",74492851,"+",294,0.297819,8.8029915,14.041294,2.2113275,8.360701
"1384","ENSG00000077522.13","ACTN2","protein_coding","chr1",236663141,"+",0,0.0097395,0.0485455,0.1686905,0.068373,0.0224725
"1385","ENSG00000077549.18","CAPZB","protein_coding","chr1",19484540,"-",269,1.17558,20.0090665,38.7560495,10.3051235,11.8445985
"1386","ENSG00000077585.14","GPR137B","protein_coding","chr1",236141505,"+",63,0.0267485,0.319544,0.2686875,0.2256955,0.566028
"1387","ENSG00000077616.11","NAALAD2","protein_coding","chr11",90130515,"+",0,0.0571915,4.6846285,2.9874435,0.43487,7.5773545
"1388","ENSG00000077684.16","JADE1","protein_coding","chr4",128808700,"+",275,1.3918165,9.7670895,15.4231365,4.365883,10.1683125
"1389","ENSG00000077713.19","SLC25A43","protein_coding","chrX",119398336,"+",212,0.5842185,7.444852,12.021263,8.421332,3.0163595
"1390","ENSG00000077721.16","UBE2A","protein_coding","chrX",119573536,"+",246,0.393591,13.6744315,19.193342,4.914568,15.095405
"1391","ENSG00000077782.20","FGFR1","protein_coding","chr8",38467835,"-",277,1.7689075,43.338463,29.3061055,13.8212505,54.4499665
"1392","ENSG00000077800.13","FKBP6","protein_coding","chr7",73327161,"+",4,0.024949,0.382506,0.2068405,0.169769,0.62781
"1393","ENSG00000077935.17","SMC1B","protein_coding","chr22",45412620,"-",132,0.0002425,0.128413,0.0869465,0.0157125,0.283327
"1394","ENSG00000077942.19","FBLN1","protein_coding","chr22",45501238,"+",311,1.330727,20.870323,16.7036035,8.351167,32.6959715
"1395","ENSG00000077943.8","ITGA8","protein_coding","chr10",15718923,"-",9,0.0022335,0.046555,0.0034205,0.0136745,0.0748205
"1396","ENSG00000077984.6","CST7","protein_coding","chr20",24948269,"+",14,0.0030335,0.4302455,0.1266525,0,0.7109335
"1397","ENSG00000078018.19","MAP2","protein_coding","chr2",209423058,"+",161,0.002801,0.003022,0.0614395,0.0013745,0.0228275
"1398","ENSG00000078043.16","PIAS2","protein_coding","chr18",46919161,"-",1,1.884054,7.753567,7.836658,5.7070375,14.8921785
"1399","ENSG00000078053.17","AMPH","protein_coding","chr7",38630421,"-",6,0.0331835,0.1133335,0.0906355,0.0635615,0.0731665
"1400","ENSG00000078061.13","ARAF","protein_coding","chrX",47560100,"+",176,0.843446,7.6585855,8.2936905,7.523748,6.455164
"1401","ENSG00000078070.13","MCCC1","protein_coding","chr3",183115076,"-",46,0.429937,13.9729605,19.3416035,2.6067025,14.0592335
"1402","ENSG00000078081.8","LAMP3","protein_coding","chr3",183162840,"-",93,0.013494,0.328912,0.1291715,0.083388,0.5756265
"1403","ENSG00000078098.14","FAP","protein_coding","chr2",162244152,"-",0,0,0,0,0,0.0401905
"1404","ENSG00000078114.18","NEBL","protein_coding","chr10",21173188,"-",60,0.0097185,0.2804015,0.0611425,0.1863495,0.905322
"1405","ENSG00000078124.12","ACER3","protein_coding","chr11",76859867,"+",212,0.2660125,5.2523765,7.246164,2.1629525,4.8955615
"1406","ENSG00000078140.14","UBE2K","protein_coding","chr4",39697109,"+",323,1.1399075,15.8452685,50.9582985,11.3891065,13.746493
"1407","ENSG00000078142.13","PIK3C3","protein_coding","chr18",41954234,"+",166,1.553149,20.374808,45.0997585,5.63058,22.0536425
"1408","ENSG00000078177.14","N4BP2","protein_coding","chr4",40055850,"+",343,0.136707,6.918086,17.9087645,1.6785035,6.179582
"1409","ENSG00000078237.7","TIGAR","protein_coding","chr12",4306763,"+",157,0.1876585,8.1203375,22.055989,1.642774,3.3318905
"1410","ENSG00000078246.17","TULP3","protein_coding","chr12",2876223,"+",283,0.146443,4.7931035,6.6231215,1.6513,2.6527705
"1411","ENSG00000078269.15","SYNJ2","protein_coding","chr6",157980863,"+",329,3.2729965,23.6415295,26.0680905,16.69575,26.6975085
"1412","ENSG00000078295.17","ADCY2","protein_coding","chr5",7395138,"+",7,0.011449,0.4025875,0.189676,0.0868885,1.547907
"1413","ENSG00000078304.19","PPP2R5C","protein_coding","chr14",101760798,"+",231,3.3733515,37.251547,59.2892975,29.707918,31.6261565
"1414","ENSG00000078328.21","RBFOX1","protein_coding","chr16",5238802,"+",90,0.0048935,0.304915,0.0660885,0.086304,0.606989
"1415","ENSG00000078369.18","GNB1","protein_coding","chr1",1890118,"-",290,8.353463,32.231693,54.6483025,48.4563335,18.8273295
"1416","ENSG00000078399.18","HOXA9","protein_coding","chr7",27174181,"-",10,0,0,0,0.011055,0.016517
"1417","ENSG00000078401.7","EDN1","protein_coding","chr6",12289361,"+",76,0.004043,0.105775,0.1016035,0.043473,0.1471585
"1418","ENSG00000078403.17","MLLT10","protein_coding","chr10",21523646,"+",355,2.8053675,35.520967,32.9575705,17.5267425,89.826686
"1419","ENSG00000078487.17","ZCWPW1","protein_coding","chr7",100427993,"-",355,0.0784515,0.9151465,1.3604795,0.734501,0.9383475
"1420","ENSG00000078549.14","ADCYAP1R1","protein_coding","chr7",31051461,"+",3,0,0.005325,0,0,0.020188
"1421","ENSG00000078579.9","FGF20","protein_coding","chr8",17001346,"-",100,0,0.0354935,0,0.0048315,0.090384
"1422","ENSG00000078589.13","P2RY10","protein_coding","chrX",78944332,"+",0,0.0020035,0.5680995,0.1549135,0.045501,1.685746
"1423","ENSG00000078596.11","ITM2A","protein_coding","chrX",79366668,"-",0,0,0,0.017536,0,0
"1424","ENSG00000078618.21","NRDC","protein_coding","chr1",51877938,"-",288,1.3352095,25.4937515,49.5462745,6.6846815,33.6450355
"1425","ENSG00000078668.14","VDAC3","protein_coding","chr8",42390624,"+",269,3.630617,115.9828735,259.706852,27.328497,43.9523325
"1426","ENSG00000078674.17","PCM1","protein_coding","chr8",17921840,"+",301,0.927067,84.2812575,138.210215,11.3265535,120.8064345
"1427","ENSG00000078687.17","TNRC6C","protein_coding","chr17",77958240,"+",362,0.922422,2.1336985,2.506751,1.09854,3.3962105
"1428","ENSG00000078699.21","CBFA2T2","protein_coding","chr20",33489075,"+",349,2.387618,5.2139085,5.2905725,4.378087,6.576926
"1429","ENSG00000078725.13","BRINP1","protein_coding","chr9",119368436,"-",3,0,0,0,0,0
"1430","ENSG00000078747.15","ITCH","protein_coding","chr20",34362241,"+",326,3.427492,54.68859,103.3304705,22.1901225,56.714708
"1431","ENSG00000078795.16","PKD2L2","protein_coding","chr5",137886968,"+",1,0.138439,2.9181025,0.5876365,0.7293295,4.581772
"1432","ENSG00000078804.13","TP53INP2","protein_coding","chr20",34703339,"+",320,0.3654305,4.5052165,7.5213565,2.7320675,8.867537
"1433","ENSG00000078808.17","SDF4","protein_coding","chr1",1231068,"-",311,5.631056,54.896864,35.625247,32.1888665,30.517567
"1434","ENSG00000078814.15","MYH7B","protein_coding","chr20",34974403,"+",5,0.0947405,1.2288975,0.333005,0.372698,2.8060535
"1435","ENSG00000078898.7","BPIFB2","protein_coding","chr20",33006704,"+",336,0.9174945,30.3040875,21.195321,6.712487,32.0543815
"1436","ENSG00000078900.15","TP73","protein_coding","chr1",3651516,"+",129,0.058404,0.5832535,0.447675,0.651465,0.926616
"1437","ENSG00000078902.16","TOLLIP","protein_coding","chr11",1308655,"-",265,3.4062095,12.171569,15.695638,11.0043995,7.6549375
"1438","ENSG00000078967.13","UBE2D4","protein_coding","chr7",43925436,"+",339,1.982397,4.9088245,7.133036,11.8735875,6.030299
"1439","ENSG00000079101.16","CLUL1","protein_coding","chr18",595988,"+",235,0.007518,0.2265815,0.1286745,0.1298025,0.6415715
"1440","ENSG00000079102.16","RUNX1T1","protein_coding","chr8",92102287,"-",6,0.0059825,0.0041245,0.0056345,0,0.028007
"1441","ENSG00000079112.10","CDH17","protein_coding","chr8",94216304,"-",0,0.069804,0.62208,0.128104,0.2863795,1.2452455
"1442","ENSG00000079134.12","THOC1","protein_coding","chr18",267051,"-",347,0.4744525,33.6493505,28.8561935,3.3902885,59.344076
"1443","ENSG00000079150.18","FKBP7","protein_coding","chr2",178477601,"-",280,0.1074975,6.1832735,5.5985825,1.1381965,5.1410315
"1444","ENSG00000079156.17","OSBPL6","protein_coding","chr2",178193481,"+",233,0.008409,0.7078475,0.246365,0.143165,1.487762
"1445","ENSG00000079215.14","SLC1A3","protein_coding","chr5",36605355,"+",1,0.001513,0.011287,0.0360145,0.0066245,0.004689
"1446","ENSG00000079246.16","XRCC5","protein_coding","chr2",216106464,"+",136,3.3439085,237.836908,524.4722915,28.275507,159.925398
"1447","ENSG00000079257.8","LXN","protein_coding","chr3",158671649,"-",4,0.004894,0.8917365,0.0664475,0.0382205,2.056433
"1448","ENSG00000079263.19","SP140","protein_coding","chr2",230202110,"+",0,0.025781,0.58263,0.6412835,0.3624245,1.41843
"1449","ENSG00000079277.21","MKNK1","protein_coding","chr1",46615844,"-",212,1.8754155,14.67925,10.6834925,7.672337,23.305586
"1450","ENSG00000079308.19","TNS1","protein_coding","chr2",218032983,"-",75,0.1147,1.293174,1.09359,0.5958855,2.902458
"1451","ENSG00000079313.15","REXO1","protein_coding","chr19",1847484,"-",280,0.2503905,2.8404875,3.287122,2.3062585,3.4859435
"1452","ENSG00000079332.15","SAR1A","protein_coding","chr10",70169524,"-",285,4.206421,60.7164315,74.3740805,12.266972,38.760538
